# VulnTrends — Vulnerability backlog (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,openCount
2010-09,Apple,632
2010-09,Cisco,309
2010-09,Microsoft,1704
2010-09,Oracle,956
2010-09,Samsung,2
2010-10,Adobe,448
2010-10,Apple,634
2010-10,Cisco,312
2010-10,Microsoft,1741
2010-10,Oracle,1020
2010-10,Samsung,2
2010-11,Adobe,468
2010-11,Apple,663
2010-11,Cisco,320
2010-11,Microsoft,1754
2010-11,Oracle,1020
2010-11,Samsung,2
2010-12,Adobe,468
2010-12,Apple,670
2010-12,Cisco,320
2010-12,Microsoft,1780
2010-12,Oracle,1020
2010-12,Samsung,2
2011-01,Adobe,468
2011-01,Apple,670
2011-01,Cisco,321
2011-01,Microsoft,1784
2011-01,Oracle,1082
2011-01,Samsung,2
2011-02,Adobe,539
2011-02,Apple,672
2011-02,Cisco,353
2011-02,Microsoft,1796
2011-02,Oracle,1083
2011-02,Samsung,2
2011-03,Adobe,540
2011-03,Apple,756
2011-03,Cisco,354
2011-03,Microsoft,1802
2011-03,Oracle,1083
2011-03,Samsung,2
2011-04,Adobe,541
2011-04,Apple,757
2011-04,Cisco,355
2011-04,Microsoft,1820
2011-04,Oracle,1132
2011-04,Samsung,2
2011-05,Adobe,559
2011-05,Apple,760
2011-05,Cisco,370
2011-05,Microsoft,1827
2011-05,Oracle,1132
2011-05,Samsung,3
2011-06,Adobe,603
2011-06,Apple,767
2011-06,Cisco,375
2011-06,Microsoft,1852
2011-06,Oracle,1132
2011-06,Samsung,3
2011-07,Adobe,603
2011-07,Apple,798
2011-07,Cisco,378
2011-07,Microsoft,1852
2011-07,Oracle,1195
2011-07,Samsung,3
2011-08,Adobe,627
2011-08,Apple,823
2011-08,Cisco,386
2011-08,Microsoft,1866
2011-08,Oracle,1195
2011-08,Samsung,3
2011-09,Adobe,646
2011-09,Apple,831
2011-09,Cisco,391
2011-09,Microsoft,1880
2011-09,Oracle,1195
2011-09,Samsung,3
2011-10,Adobe,647
2011-10,Apple,875
2011-10,Cisco,412
2011-10,Microsoft,1898
2011-10,Oracle,1244
2011-10,Samsung,3
2011-11,Adobe,663
2011-11,Apple,877
2011-11,Cisco,416
2011-11,Microsoft,1899
2011-11,Oracle,1244
2011-11,Samsung,3
2011-12,Adobe,670
2011-12,Apple,882
2011-12,Cisco,416
2011-12,Microsoft,1914
2011-12,Oracle,1248
2011-12,Samsung,3
2012-01,Adobe,675
2012-01,Apple,885
2012-01,Cisco,418
2012-01,Microsoft,1916
2012-01,Oracle,1314
2012-01,Samsung,3
2012-02,Adobe,691
2012-02,Apple,893
2012-02,Cisco,421
2012-02,Microsoft,1931
2012-02,Oracle,1326
2012-02,Samsung,3
2012-03,Adobe,696
2012-03,Apple,977
2012-03,Cisco,429
2012-03,Fortinet,13
2012-03,Microsoft,1939
2012-03,Oracle,1326
2012-03,Samsung,3
2012-04,Adobe,702
2012-04,Apple,985
2012-04,Cisco,432
2012-04,Fortinet,13
2012-04,Microsoft,1956
2012-04,Oracle,1326
2012-04,Samsung,3
2012-05,Adobe,717
2012-05,Apple,999
2012-05,Cisco,443
2012-05,Fortinet,13
2012-05,Microsoft,1972
2012-05,Oracle,1407
2012-05,Samsung,3
2012-06,Adobe,725
2012-06,Apple,1000
2012-06,Cisco,453
2012-06,Fortinet,13
2012-06,Microsoft,1989
2012-06,Oracle,1423
2012-06,Samsung,3
2012-07,Adobe,725
2012-07,Apple,1078
2012-07,Cisco,459
2012-07,Fortinet,13
2012-07,Microsoft,1999
2012-07,Oracle,1486
2012-07,Samsung,3
2012-08,Adobe,759
2012-08,Apple,1080
2012-08,Cisco,467
2012-08,Fortinet,13
2012-08,Microsoft,2006
2012-08,Oracle,1495
2012-08,Samsung,8
2012-09,Adobe,766
2012-09,Apple,1134
2012-09,Cisco,480
2012-09,Fortinet,13
2012-09,Microsoft,2014
2012-09,Oracle,1497
2012-09,Samsung,8
2012-10,Adobe,797
2012-10,Apple,1134
2012-10,Cisco,486
2012-10,Fortinet,13
2012-10,Microsoft,2021
2012-10,Oracle,1617
2012-10,Samsung,8
2012-11,Adobe,809
2012-11,Apple,1146
2012-11,Cisco,489
2012-11,Fortinet,13
2012-11,Microsoft,2034
2012-11,Oracle,1619
2012-11,Samsung,8
2012-12,Adobe,817
2012-12,Apple,1146
2012-12,Cisco,489
2012-12,Fortinet,13
2012-12,Microsoft,2041
2012-12,Oracle,1628
2012-12,Samsung,12
2013-01,Adobe,849
2013-01,Apple,1146
2013-01,Cisco,498
2013-01,Fortinet,13
2013-01,Microsoft,2055
2013-01,Oracle,1706
2013-01,Samsung,12
2013-02,Adobe,875
2013-02,Apple,1146
2013-02,Cisco,511
2013-02,Fortinet,14
2013-02,Microsoft,2070
2013-02,Oracle,1760
2013-02,Samsung,12
2013-03,Adobe,882
2013-03,Apple,1148
2013-03,Cisco,515
2013-03,Fortinet,14
2013-03,Microsoft,2091
2013-03,Mozilla,1
2013-03,Oracle,1770
2013-03,Samsung,12
2013-04,Adobe,891
2013-04,Apple,1148
2013-04,Cisco,535
